score_event_id,hs_contact_id,old_score,new_score,changed_at,_synced_at
SCR-0000001,HS-000001,0,5,2026-01-21 14:48:56,2026-04-01 06:30:00
SCR-0000002,HS-000001,5,7,2026-01-31 10:55:56,2026-04-01 06:30:00
SCR-0000003,HS-000002,0,14,2026-02-20 01:42:21,2026-04-01 06:30:00
SCR-0000004,HS-000002,14,22,2026-03-08 09:39:45,2026-04-01 06:30:00
SCR-0000005,HS-000003,0,22,2026-03-16 10:06:21,2026-04-01 06:30:00
SCR-0000006,HS-000003,22,48,2026-03-24 07:20:50,2026-04-01 06:30:00
SCR-0000007,HS-000003,48,64,2026-03-26 03:39:51,2026-04-01 06:30:00
SCR-0000008,HS-000004,0,14,2025-11-03 02:19:14,2026-04-01 06:30:00
SCR-0000009,HS-000004,14,29,2025-11-17 15:50:27,2026-04-01 06:30:00
SCR-0000010,HS-000005,0,22,2025-11-12 15:19:17,2026-04-01 06:30:00
SCR-0000011,HS-000006,0,19,2026-02-09 01:00:14,2026-04-01 06:30:00
SCR-0000012,HS-000006,19,43,2026-02-18 19:11:20,2026-04-01 06:30:00
SCR-0000013,HS-000006,43,58,2026-02-20 10:51:29,2026-04-01 06:30:00
SCR-0000014,HS-000007,0,22,2025-12-13 19:17:29,2026-04-01 06:30:00
SCR-0000015,HS-000007,22,46,2025-12-20 12:12:24,2026-04-01 06:30:00
SCR-0000016,HS-000007,46,79,2025-12-23 08:34:49,2026-04-01 06:30:00
SCR-0000017,HS-000008,0,14,2026-01-05 00:42:13,2026-04-01 06:30:00
SCR-0000018,HS-000009,0,9,2026-02-28 22:17:30,2026-04-01 06:30:00
SCR-0000019,HS-000009,9,44,2026-03-07 13:12:14,2026-04-01 06:30:00
SCR-0000020,HS-000009,44,62,2026-03-09 02:47:15,2026-04-01 06:30:00
SCR-0000021,HS-000010,0,17,2025-12-19 11:51:49,2026-04-01 06:30:00
SCR-0000022,HS-000010,17,24,2026-01-03 20:50:05,2026-04-01 06:30:00
SCR-0000023,HS-000011,0,12,2026-02-03 10:29:53,2026-04-01 06:30:00
SCR-0000024,HS-000011,12,43,2026-02-09 09:06:38,2026-04-01 06:30:00
