event_id,hs_contact_id,event_type,event_at_utc,campaign,_synced_at
EVT-0000001,HS-000001,DemoRequest,2026-01-21 14:48:56,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000002,HS-000001,DemoRequest,2026-01-21 14:48:56,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000003,HS-000001,Webinar,2026-01-21 14:48:56,Content-Syndication,2026-04-01 06:45:00
EVT-0000004,HS-000002,FormFill,2026-02-20 01:42:21,Always-On-Search,2026-04-01 06:45:00
EVT-0000005,HS-000002,ContentDownload,2026-02-20 01:42:21,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000006,HS-000003,DemoRequest,2026-03-23 14:16:35,Always-On-Search,2026-04-01 06:45:00
EVT-0000007,HS-000004,DemoRequest,2025-11-03 02:19:14,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000008,HS-000005,EmailClick,2025-11-12 15:19:17,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000009,HS-000005,ContentDownload,2025-11-12 15:19:17,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000010,HS-000005,DemoRequest,2025-11-12 15:19:17,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000011,HS-000005,EmailClick,2025-11-12 15:19:17,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000012,HS-000006,DemoRequest,2026-02-18 00:32:20,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000013,HS-000006,Webinar,2026-02-18 05:04:20,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000014,HS-000006,FormFill,2026-02-13 16:01:14,Content-Syndication,2026-04-01 06:45:00
EVT-0000015,HS-000006,Webinar,2026-02-09 17:28:10,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000016,HS-000007,ContentDownload,2025-12-19 09:13:27,Always-On-Search,2026-04-01 06:45:00
EVT-0000017,HS-000007,EmailClick,2025-12-14 06:17:22,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000018,HS-000007,ContentDownload,2025-12-14 03:39:04,Content-Syndication,2026-04-01 06:45:00
EVT-0000019,HS-000008,ContentDownload,2026-01-05 00:42:13,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000020,HS-000008,ContentDownload,2026-01-05 00:42:13,Content-Syndication,2026-04-01 06:45:00
EVT-0000021,HS-000008,FormFill,2026-01-05 00:42:13,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000022,HS-000008,FormFill,2026-01-05 00:42:13,Always-On-Search,2026-04-01 06:45:00
EVT-0000023,HS-000009,DemoRequest,2026-03-06 23:44:25,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000024,HS-000010,DemoRequest,2025-12-19 11:51:49,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000025,HS-000011,ContentDownload,2026-02-04 09:48:18,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000026,HS-000011,EmailClick,2026-02-03 17:57:14,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000027,HS-000011,EmailClick,2026-02-04 07:58:58,Always-On-Search,2026-04-01 06:45:00
EVT-0000028,HS-000011,DemoRequest,2026-02-08 01:03:21,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000029,HS-000012,ContentDownload,2025-11-18 11:49:37,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000030,HS-000013,ContentDownload,2026-03-08 23:42:03,Content-Syndication,2026-04-01 06:45:00
EVT-0000031,HS-000014,FormFill,2025-10-20 16:26:46,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000032,HS-000015,DemoRequest,2026-03-06 13:34:11,Always-On-Search,2026-04-01 06:45:00
EVT-0000033,HS-000015,EmailClick,2026-03-06 13:34:11,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000034,HS-000016,Webinar,2026-02-24 02:44:52,Content-Syndication,2026-04-01 06:45:00
EVT-0000035,HS-000016,ContentDownload,2026-02-25 22:23:21,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000036,HS-000017,EmailClick,2025-11-30 05:57:18,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000037,HS-000017,DemoRequest,2025-12-03 23:58:49,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000038,HS-000018,EmailClick,2025-11-26 15:38:12,Content-Syndication,2026-04-01 06:45:00
EVT-0000039,HS-000018,ContentDownload,2025-11-26 15:38:12,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000040,HS-000018,Webinar,2025-11-26 15:38:12,Content-Syndication,2026-04-01 06:45:00
EVT-0000041,HS-000018,ContentDownload,2025-11-26 15:38:12,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000042,HS-000019,Webinar,2025-09-26 00:00:56,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000043,HS-000020,DemoRequest,2025-10-23 19:54:25,Always-On-Search,2026-04-01 06:45:00
EVT-0000044,HS-000021,ContentDownload,2025-10-15 16:50:07,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000045,HS-000021,DemoRequest,2025-10-15 16:50:07,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000046,HS-000021,Webinar,2025-10-15 16:50:07,Content-Syndication,2026-04-01 06:45:00
EVT-0000047,HS-000021,FormFill,2025-10-15 16:50:07,Content-Syndication,2026-04-01 06:45:00
EVT-0000048,HS-000022,ContentDownload,2026-01-22 00:54:13,Content-Syndication,2026-04-01 06:45:00
EVT-0000049,HS-000022,FormFill,2026-01-22 00:54:13,Content-Syndication,2026-04-01 06:45:00
EVT-0000050,HS-000022,DemoRequest,2026-01-22 00:54:13,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000051,HS-000023,Webinar,2025-10-16 08:53:49,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000052,HS-000024,DemoRequest,2026-01-20 03:05:13,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000053,HS-000025,DemoRequest,2025-10-16 10:34:07,Always-On-Search,2026-04-01 06:45:00
EVT-0000054,HS-000026,FormFill,2026-01-07 17:05:59,Always-On-Search,2026-04-01 06:45:00
EVT-0000055,HS-000026,ContentDownload,2026-01-04 14:54:32,Always-On-Search,2026-04-01 06:45:00
EVT-0000056,HS-000027,ContentDownload,2025-12-26 03:31:30,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000057,HS-000027,DemoRequest,2025-12-26 03:31:30,Content-Syndication,2026-04-01 06:45:00
EVT-0000058,HS-000027,ContentDownload,2025-12-26 03:31:30,Always-On-Search,2026-04-01 06:45:00
EVT-0000059,HS-000028,EmailClick,2025-09-18 12:43:52,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000060,HS-000028,DemoRequest,2025-09-18 12:43:52,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000061,HS-000029,Webinar,2025-11-26 00:22:36,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000062,HS-000029,Webinar,2025-11-20 16:20:52,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000063,HS-000029,EmailClick,2025-11-24 23:07:16,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000064,HS-000030,ContentDownload,2025-10-21 01:37:43,Content-Syndication,2026-04-01 06:45:00
EVT-0000065,HS-000030,Webinar,2025-10-21 01:37:43,Content-Syndication,2026-04-01 06:45:00
EVT-0000066,HS-000030,Webinar,2025-10-21 01:37:43,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000067,HS-000030,ContentDownload,2025-10-21 01:37:43,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000068,HS-000031,FormFill,2026-01-08 02:38:03,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000069,HS-000031,ContentDownload,2026-01-08 02:38:03,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000070,HS-000032,ContentDownload,2026-02-03 05:12:18,Content-Syndication,2026-04-01 06:45:00
EVT-0000071,HS-000032,EmailClick,2026-02-03 09:15:27,Always-On-Search,2026-04-01 06:45:00
EVT-0000072,HS-000033,ContentDownload,2025-08-30 20:22:19,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000073,HS-000034,EmailClick,2026-03-08 11:10:01,Always-On-Search,2026-04-01 06:45:00
EVT-0000074,HS-000034,FormFill,2026-03-09 18:14:29,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000075,HS-000034,ContentDownload,2026-03-07 03:34:38,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000076,HS-000035,DemoRequest,2026-01-27 21:00:56,Always-On-Search,2026-04-01 06:45:00
EVT-0000077,HS-000035,FormFill,2026-01-26 12:27:04,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000078,HS-000035,ContentDownload,2026-02-02 10:43:47,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000079,HS-000035,EmailClick,2026-01-29 03:43:57,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000080,HS-000036,EmailClick,2026-01-04 11:34:27,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000081,HS-000036,Webinar,2026-01-04 11:34:27,Always-On-Search,2026-04-01 06:45:00
EVT-0000082,HS-000036,DemoRequest,2026-01-04 11:34:27,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000083,HS-000037,ContentDownload,2026-03-26 22:20:36,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000084,HS-000037,DemoRequest,2026-03-26 22:20:36,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000085,HS-000037,Webinar,2026-03-26 22:20:36,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000086,HS-000037,EmailClick,2026-03-26 22:20:36,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000087,HS-000038,Webinar,2025-09-20 19:16:45,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000088,HS-000038,FormFill,2025-09-22 13:59:05,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000089,HS-000039,FormFill,2025-09-19 07:16:50,Content-Syndication,2026-04-01 06:45:00
EVT-0000090,HS-000040,ContentDownload,2025-12-28 21:22:34,Annual-User-Conference,2026-04-01 06:45:00
