hs_contact_id,sf_lead_id,match_confidence
HS-000001,LEAD-000001,high
HS-000002,LEAD-000002,high
HS-000003,LEAD-000003,high
HS-000004,LEAD-000004,high
HS-000005,LEAD-000005,high
HS-000006,LEAD-000006,high
HS-000007,,low
HS-000008,LEAD-000008,high
HS-000009,LEAD-000009,high
HS-000010,LEAD-000010,high
HS-000011,LEAD-000011,high
HS-000012,LEAD-000012,high
HS-000013,LEAD-000013,high
HS-000014,LEAD-000014,high
HS-000015,LEAD-000015,high
HS-000016,LEAD-000016,high
HS-000017,,low
HS-000018,LEAD-000018,high
HS-000019,LEAD-000019,high
HS-000020,LEAD-000020,high
HS-000021,LEAD-000021,high
HS-000022,LEAD-000022,high
HS-000023,LEAD-000023,high
HS-000024,LEAD-000024,high
HS-000025,LEAD-000025,high
HS-000026,LEAD-000026,high
HS-000027,LEAD-000027,high
HS-000028,LEAD-000028,high
HS-000029,,low
HS-000030,LEAD-000030,high
HS-000031,LEAD-000031,high
HS-000032,LEAD-000032,high
HS-000033,LEAD-000033,high
HS-000034,LEAD-000034,high
HS-000035,LEAD-000035,high
HS-000036,LEAD-000036,high
HS-000037,LEAD-000037,high
HS-000038,LEAD-000038,high
HS-000039,LEAD-000039,high
HS-000040,LEAD-000040,high
HS-000041,LEAD-000041,high
HS-000042,LEAD-000042,high
HS-000043,LEAD-000043,high
HS-000044,LEAD-000044,high
HS-000045,LEAD-000045,high
HS-000046,LEAD-000046,high
HS-000047,LEAD-000047,high
HS-000048,LEAD-000048,high
HS-000049,LEAD-000049,high
HS-000050,LEAD-000050,high
HS-000051,LEAD-000051,high
HS-000052,LEAD-000052,high
HS-000053,LEAD-000053,high
HS-000054,LEAD-000054,high
HS-000055,LEAD-000055,high
HS-000056,LEAD-000056,high
HS-000057,LEAD-000057,high
HS-000058,LEAD-000058,high
HS-000059,LEAD-000059,high
HS-000060,LEAD-000060,high
HS-000061,,low
HS-000062,LEAD-000062,high
HS-000063,LEAD-000063,high
HS-000064,LEAD-000064,high
HS-000065,LEAD-000065,high
HS-000066,LEAD-000066,high
HS-000067,,low
HS-000068,LEAD-000068,high
HS-000069,LEAD-000069,high
HS-000070,LEAD-000070,high
HS-000071,LEAD-000071,high
HS-000072,LEAD-000072,high
HS-000073,LEAD-000073,high
HS-000074,LEAD-000074,high
HS-000075,LEAD-000075,high
HS-000076,LEAD-000076,high
HS-000077,LEAD-000077,high
HS-000078,LEAD-000078,high
HS-000079,LEAD-000079,high
HS-000080,LEAD-000080,high
HS-000081,LEAD-000081,high
HS-000082,,low
HS-000083,LEAD-000083,high
HS-000084,LEAD-000084,high
HS-000085,LEAD-000085,high
HS-000086,LEAD-000086,high
HS-000087,LEAD-000087,high
HS-000088,LEAD-000088,high
HS-000089,LEAD-000089,high
HS-000090,LEAD-000090,high
HS-000091,,low
HS-000092,LEAD-000092,high
HS-000093,,low
HS-000094,LEAD-000094,high
HS-000095,LEAD-000095,high
HS-000096,LEAD-000096,high
HS-000097,LEAD-000097,high
HS-000098,LEAD-000098,high
HS-000099,LEAD-000099,high
HS-000100,LEAD-000100,high
HS-000101,LEAD-000101,high
HS-000102,LEAD-000102,high
HS-000103,,low
HS-000104,LEAD-000104,high
HS-000105,LEAD-000105,high
HS-000106,LEAD-000106,high
HS-000107,,low
HS-000108,LEAD-000108,high
HS-000109,LEAD-000109,high
HS-000110,LEAD-000110,high
HS-000111,LEAD-000111,high
HS-000112,LEAD-000112,high
HS-000113,LEAD-000113,high
HS-000114,LEAD-000114,high
HS-000115,LEAD-000115,high
HS-000116,LEAD-000116,high
HS-000117,,low
HS-000118,LEAD-000118,high
HS-000119,LEAD-000119,high
HS-000120,LEAD-000120,high
HS-000121,LEAD-000121,high
HS-000122,LEAD-000122,high
HS-000123,LEAD-000123,high
HS-000124,LEAD-000124,high
HS-000125,LEAD-000125,high
HS-000126,LEAD-000126,high
HS-000127,LEAD-000127,high
HS-000128,LEAD-000128,high
HS-000129,LEAD-000129,high
HS-000130,LEAD-000130,high
HS-000131,LEAD-000131,high
HS-000132,LEAD-000132,high
HS-000133,LEAD-000133,high
HS-000134,LEAD-000134,high
HS-000135,,low
HS-000136,LEAD-000136,high
HS-000137,LEAD-000137,high
HS-000138,LEAD-000138,high
HS-000139,LEAD-000139,high
HS-000140,LEAD-000140,high
HS-000141,LEAD-000141,high
HS-000142,LEAD-000142,high
HS-000143,LEAD-000143,high
HS-000144,LEAD-000144,high
HS-000145,LEAD-000145,high
HS-000146,LEAD-000146,high
HS-000147,LEAD-000147,high
HS-000148,LEAD-000148,high
HS-000149,LEAD-000149,high
HS-000150,LEAD-000150,high
HS-000151,LEAD-000151,high
HS-000152,LEAD-000152,high
HS-000153,LEAD-000153,high
HS-000154,LEAD-000154,high
HS-000155,LEAD-000155,high
HS-000156,LEAD-000156,high
HS-000157,,low
HS-000158,,low
HS-000159,LEAD-000159,high
HS-000160,,low
HS-000161,LEAD-000161,high
HS-000162,LEAD-000162,high
HS-000163,LEAD-000163,high
HS-000164,,low
HS-000165,LEAD-000165,high
HS-000166,LEAD-000166,high
HS-000167,LEAD-000167,high
HS-000168,LEAD-000168,high
HS-000169,LEAD-000169,high
HS-000170,LEAD-000170,high
HS-000171,LEAD-000171,high
HS-000172,LEAD-000172,high
HS-000173,LEAD-000173,high
HS-000174,LEAD-000174,high
HS-000175,,low
HS-000176,LEAD-000176,high
HS-000177,LEAD-000177,high
HS-000178,LEAD-000178,high
HS-000179,LEAD-000179,high
HS-000180,LEAD-000180,high
HS-000181,LEAD-000181,high
HS-000182,LEAD-000182,high
HS-000183,LEAD-000183,high
HS-000184,LEAD-000184,high
HS-000185,LEAD-000185,high
HS-000186,LEAD-000186,high
HS-000187,LEAD-000187,high
HS-000188,LEAD-000188,high
HS-000189,LEAD-000189,high
HS-000190,LEAD-000190,high
HS-000191,LEAD-000191,high
HS-000192,LEAD-000192,high
HS-000193,LEAD-000193,high
HS-000194,LEAD-000194,high
HS-000195,LEAD-000195,high
HS-000196,LEAD-000196,high
HS-000197,LEAD-000197,high
HS-000198,LEAD-000198,high
HS-000199,LEAD-000199,high
HS-000200,LEAD-000200,high
HS-000201,LEAD-000201,high
HS-000202,,low
HS-000203,LEAD-000203,high
HS-000204,LEAD-000204,high
HS-000205,LEAD-000205,high
HS-000206,LEAD-000206,high
HS-000207,LEAD-000207,high
HS-000208,LEAD-000208,high
HS-000209,LEAD-000209,high
HS-000210,LEAD-000210,high
HS-000211,,low
HS-000212,LEAD-000212,high
HS-000213,LEAD-000213,high
HS-000214,LEAD-000214,high
HS-000215,LEAD-000215,high
HS-000216,LEAD-000216,high
HS-000217,LEAD-000217,high
HS-000218,LEAD-000218,high
HS-000219,,low
HS-000220,LEAD-000220,high
HS-000221,LEAD-000221,high
HS-000222,LEAD-000222,high
HS-000223,LEAD-000223,high
HS-000224,LEAD-000224,high
HS-000225,,low
HS-000226,LEAD-000226,high
HS-000227,LEAD-000227,high
HS-000228,LEAD-000228,high
HS-000229,LEAD-000229,high
HS-000230,LEAD-000230,high
HS-000231,,low
HS-000232,LEAD-000232,high
HS-000233,LEAD-000233,high
HS-000234,LEAD-000234,high
HS-000235,LEAD-000235,high
HS-000236,LEAD-000236,high
HS-000237,,low
HS-000238,LEAD-000238,high
HS-000239,LEAD-000239,high
HS-000240,LEAD-000240,high
HS-000241,LEAD-000241,high
HS-000242,LEAD-000242,high
HS-000243,LEAD-000243,high
HS-000244,LEAD-000244,high
HS-000245,LEAD-000245,high
HS-000246,LEAD-000246,high
HS-000247,LEAD-000247,high
HS-000248,LEAD-000248,high
HS-000249,LEAD-000249,high
HS-000250,LEAD-000250,high
HS-000251,LEAD-000251,high
HS-000252,LEAD-000252,high
HS-000253,LEAD-000253,high
HS-000254,LEAD-000254,high
HS-000255,LEAD-000255,high
HS-000256,LEAD-000256,high
HS-000257,LEAD-000257,high
HS-000258,LEAD-000258,high
HS-000259,LEAD-000259,high
HS-000260,LEAD-000260,high
HS-000261,LEAD-000261,high
HS-000262,LEAD-000262,high
HS-000263,LEAD-000263,high
HS-000264,LEAD-000264,high
HS-000265,LEAD-000265,high
HS-000266,LEAD-000266,high
HS-000267,LEAD-000267,high
HS-000268,LEAD-000268,high
HS-000269,LEAD-000269,high
HS-000270,LEAD-000270,high
HS-000271,LEAD-000271,high
HS-000272,LEAD-000272,high
HS-000273,LEAD-000273,high
HS-000274,LEAD-000274,high
HS-000275,LEAD-000275,high
HS-000276,LEAD-000276,high
HS-000277,LEAD-000277,high
HS-000278,LEAD-000278,high
HS-000279,LEAD-000279,high
HS-000280,LEAD-000280,high
HS-000281,LEAD-000281,high
HS-000282,LEAD-000282,high
HS-000283,LEAD-000283,high
HS-000284,,low
HS-000285,LEAD-000285,high
HS-000286,LEAD-000286,high
HS-000287,LEAD-000287,high
HS-000288,LEAD-000288,high
HS-000289,LEAD-000289,high
HS-000290,LEAD-000290,high
HS-000291,LEAD-000291,high
HS-000292,LEAD-000292,high
HS-000293,LEAD-000293,high
HS-000294,LEAD-000294,high
HS-000295,LEAD-000295,high
HS-000296,LEAD-000296,high
HS-000297,LEAD-000297,high
HS-000298,LEAD-000298,high
HS-000299,LEAD-000299,high
HS-000300,,low
HS-000301,LEAD-000301,high
HS-000302,LEAD-000302,high
HS-000303,LEAD-000303,high
HS-000304,LEAD-000304,high
HS-000305,,low
HS-000306,LEAD-000306,high
HS-000307,LEAD-000307,high
HS-000308,,low
HS-000309,,low
HS-000310,,low
HS-000311,LEAD-000311,high
HS-000312,LEAD-000312,high
HS-000313,LEAD-000313,high
HS-000314,LEAD-000314,high
HS-000315,LEAD-000315,high
HS-000316,LEAD-000316,high
HS-000317,LEAD-000317,high
HS-000318,LEAD-000318,high
HS-000319,LEAD-000319,high
HS-000320,LEAD-000320,high
HS-000321,LEAD-000321,high
HS-000322,,low
HS-000323,LEAD-000323,high
HS-000324,LEAD-000324,high
HS-000325,LEAD-000325,high
HS-000326,LEAD-000326,high
HS-000327,LEAD-000327,high
HS-000328,LEAD-000328,high
HS-000329,LEAD-000329,high
HS-000330,,low
HS-000331,LEAD-000331,high
HS-000332,LEAD-000332,high
HS-000333,LEAD-000333,high
HS-000334,LEAD-000334,high
HS-000335,LEAD-000335,high
HS-000336,LEAD-000336,high
HS-000337,LEAD-000337,high
HS-000338,LEAD-000338,high
HS-000339,LEAD-000339,high
HS-000340,LEAD-000340,high
HS-000341,LEAD-000341,high
HS-000342,LEAD-000342,high
HS-000343,LEAD-000343,high
HS-000344,LEAD-000344,high
HS-000345,LEAD-000345,high
HS-000346,LEAD-000346,high
HS-000347,LEAD-000347,high
HS-000348,LEAD-000348,high
HS-000349,LEAD-000349,high
HS-000350,LEAD-000350,high
HS-000351,,low
HS-000352,LEAD-000352,high
HS-000353,LEAD-000353,high
HS-000354,LEAD-000354,high
HS-000355,LEAD-000355,high
HS-000356,LEAD-000356,high
HS-000357,LEAD-000357,high
HS-000358,LEAD-000358,high
HS-000359,LEAD-000359,high
HS-000360,LEAD-000360,high
HS-000361,LEAD-000361,high
HS-000362,LEAD-000362,high
HS-000363,LEAD-000363,high
HS-000364,LEAD-000364,high
HS-000365,LEAD-000365,high
HS-000366,LEAD-000366,high
HS-000367,LEAD-000367,high
HS-000368,,low
HS-000369,LEAD-000369,high
HS-000370,LEAD-000370,high
HS-000371,LEAD-000371,high
HS-000372,LEAD-000372,high
HS-000373,LEAD-000373,high
HS-000374,LEAD-000374,high
HS-000375,LEAD-000375,high
HS-000376,LEAD-000376,high
HS-000377,LEAD-000377,high
HS-000378,LEAD-000378,high
HS-000379,LEAD-000379,high
HS-000380,LEAD-000380,high
HS-000381,LEAD-000381,high
HS-000382,LEAD-000382,high
HS-000383,LEAD-000383,high
HS-000384,LEAD-000384,high
HS-000385,,low
HS-000386,LEAD-000386,high
HS-000387,LEAD-000387,high
HS-000388,LEAD-000388,high
HS-000389,LEAD-000389,high
HS-000390,LEAD-000390,high
HS-000391,LEAD-000391,high
HS-000392,LEAD-000392,high
HS-000393,LEAD-000393,high
HS-000394,LEAD-000394,high
HS-000395,LEAD-000395,high
HS-000396,,low
HS-000397,LEAD-000397,high
HS-000398,LEAD-000398,high
HS-000399,LEAD-000399,high
HS-000400,LEAD-000400,high
HS-000401,LEAD-000401,high
HS-000402,LEAD-000402,high
HS-000403,LEAD-000403,high
HS-000404,LEAD-000404,high
HS-000405,LEAD-000405,high
HS-000406,LEAD-000406,high
HS-000407,LEAD-000407,high
HS-000408,LEAD-000408,high
HS-000409,,low
HS-000410,LEAD-000410,high
HS-000411,LEAD-000411,high
HS-000412,LEAD-000412,high
HS-000413,LEAD-000413,high
HS-000414,,low
HS-000415,LEAD-000415,high
HS-000416,LEAD-000416,high
HS-000417,LEAD-000417,high
HS-000418,LEAD-000418,high
HS-000419,LEAD-000419,high
HS-000420,LEAD-000420,high
HS-000421,LEAD-000421,high
HS-000422,LEAD-000422,high
HS-000423,LEAD-000423,high
HS-000424,LEAD-000424,high
HS-000425,LEAD-000425,high
HS-000426,,low
HS-000427,LEAD-000427,high
HS-000428,,low
HS-000429,LEAD-000429,high
HS-000430,LEAD-000430,high
HS-000431,,low
HS-000432,LEAD-000432,high
HS-000433,LEAD-000433,high
HS-000434,LEAD-000434,high
HS-000435,LEAD-000435,high
HS-000436,LEAD-000436,high
HS-000437,LEAD-000437,high
HS-000438,LEAD-000438,high
HS-000439,LEAD-000439,high
HS-000440,LEAD-000440,high
HS-000441,LEAD-000441,high
HS-000442,LEAD-000442,high
HS-000443,LEAD-000443,high
HS-000444,LEAD-000444,high
HS-000445,LEAD-000445,high
HS-000446,LEAD-000446,high
HS-000447,,low
HS-000448,LEAD-000448,high
HS-000449,LEAD-000449,high
HS-000450,LEAD-000450,high
HS-000451,,low
HS-000452,LEAD-000452,high
HS-000453,LEAD-000453,high
HS-000454,LEAD-000454,high
HS-000455,LEAD-000455,high
HS-000456,LEAD-000456,high
HS-000457,LEAD-000457,high
HS-000458,LEAD-000458,high
HS-000459,LEAD-000459,high
HS-000460,LEAD-000460,high
HS-000461,LEAD-000461,high
HS-000462,LEAD-000462,high
HS-000463,LEAD-000463,high
HS-000464,LEAD-000464,high
HS-000465,,low
HS-000466,LEAD-000466,high
HS-000467,LEAD-000467,high
HS-000468,LEAD-000468,high
HS-000469,LEAD-000469,high
HS-000470,LEAD-000470,high
HS-000471,LEAD-000471,high
HS-000472,LEAD-000472,high
HS-000473,LEAD-000473,high
HS-000474,LEAD-000474,high
HS-000475,LEAD-000475,high
HS-000476,LEAD-000476,high
HS-000477,LEAD-000477,high
HS-000478,LEAD-000478,high
HS-000479,LEAD-000479,high
HS-000480,,low
HS-000481,,low
HS-000482,LEAD-000482,high
HS-000483,LEAD-000483,high
HS-000484,LEAD-000484,high
HS-000485,LEAD-000485,high
HS-000486,LEAD-000486,high
HS-000487,LEAD-000487,high
HS-000488,,low
HS-000489,LEAD-000489,high
HS-000490,LEAD-000490,high
HS-000491,LEAD-000491,high
HS-000492,LEAD-000492,high
HS-000493,LEAD-000493,high
HS-000494,LEAD-000494,high
HS-000495,LEAD-000495,high
HS-000496,,low
HS-000497,LEAD-000497,high
HS-000498,LEAD-000498,high
HS-000499,,low
HS-000500,LEAD-000500,high
HS-000501,LEAD-000501,high
HS-000502,LEAD-000502,high
