opp_id,account_id,owner_id,opp_name,opp_stage,opp_stage_num,opp_amount,currency,opp_type,lead_source,is_partner_sourced,created_date,close_date,is_won,is_closed,is_test,source_hs_contact_id,source_sf_lead_id,_synced_at
OPP-00001,ACC-00927,USR-0032,Baker-Wilson - New Business #00001,Proposal,3,11361.42,USD,New Business,Inbound,false,2026-02-24,,false,false,false,HS-000011,LEAD-000011,2026-04-01 05:30:00
OPP-00002,ACC-00182,,Sheppard LLC - New Business #00002,Negotiation,4,4170.90,USD,New Business,Partner,true,2026-03-16,,false,false,false,HS-000013,LEAD-000013,2026-04-01 05:30:00
OPP-00003,ACC-00566,USR-0028,Stewart-Bailey - New Business #00003,Negotiation,4,6638.75,USD,New Business,Referral,false,2026-03-18,,false,false,false,HS-000034,LEAD-000034,2026-04-01 05:30:00
OPP-00004,ACC-00264,USR-0024,"Evans, Hayden and Vaughn - New Business #00004",Closed Lost,6,,USD,New Business,Referral,false,2025-10-29,2025-11-21,false,true,false,HS-000046,LEAD-000046,2026-04-01 05:30:00
OPP-00005,ACC-00392,USR-0033,Hayes LLC - New Business #00005,Closed Won,5,27496.38,USD,New Business,Partner,true,2026-01-31,2026-03-12,true,true,false,HS-000047,LEAD-000047,2026-04-01 05:30:00
OPP-00006,ACC-00374,USR-0028,Dixon Inc - New Business #00006,Proposal,3,6537.72,USD,New Business,Inbound,false,2026-03-17,,false,false,false,HS-000049,LEAD-000049,2026-04-01 05:30:00
OPP-00007,ACC-00970,USR-0028,Davis and Sons - New Business #00007,Closed Lost,6,3771.60,USD,New Business,Event,false,2025-12-10,2025-12-28,false,true,false,HS-000052,LEAD-000052,2026-04-01 05:30:00
OPP-00008,ACC-00435,USR-0027,Gilbert-Bullock - New Business #00008,Closed Lost,6,3223.80,USD,New Business,Inbound,false,2025-11-19,2026-01-14,false,true,false,HS-000059,LEAD-000059,2026-04-01 05:30:00
OPP-00009,ACC-00179,,Terry-Martinez - New Business #00009,Closed Lost,6,76869.06,USD,New Business,Inbound,false,2025-11-19,2026-02-19,false,true,false,HS-000064,LEAD-000064,2026-04-01 05:30:00
OPP-00010,ACC-00542,USR-0029,Martin-Ewing - New Business #00010,Closed Lost,6,4967.33,USD,New Business,Referral,false,2025-09-17,2025-10-09,false,true,false,HS-000076,LEAD-000076,2026-04-01 05:30:00
OPP-00011,ACC-00750,USR-0033,"Porter, Schultz and Allen - New Business #00011",Closed Lost,6,48951.23,USD,New Business,Event,false,2025-09-29,2025-12-21,false,true,false,HS-000085,LEAD-000085,2026-04-01 05:30:00
OPP-00012,ACC-00786,USR-0029,"Mccarthy, Evans and Mendez - New Business #00012",Closed Lost,6,6932.91,USD,New Business,Outbound,false,2025-12-24,2026-01-26,false,true,false,HS-000099,LEAD-000099,2026-04-01 05:30:00
OPP-00013,ACC-00439,USR-0035,Barnes PLC - New Business #00013,Discovery,1,85704.34,USD,New Business,Partner,true,2026-03-15,,false,false,false,HS-000109,LEAD-000109,2026-04-01 05:30:00
OPP-00014,ACC-01138,USR-0024,"Davis, Rodriguez and Andrews - New Business #00014",Closed Won,5,5473.50,USD,New Business,Event,false,2025-11-30,2025-12-20,true,true,false,HS-000114,LEAD-000114,2026-04-01 05:30:00
OPP-00015,ACC-00718,USR-0029,Miller-Montgomery - New Business #00015,Closed Lost,6,2809.29,USD,New Business,Inbound,false,2025-12-24,2026-01-09,false,true,false,HS-000118,LEAD-000118,2026-04-01 05:30:00
OPP-00015D,ACC-00718,USR-0029,Miller-Montgomery - New Business #00015,Closed Lost,6,2809.29,USD,New Business,Inbound,false,2025-12-24,2026-01-09,false,true,false,HS-000118,LEAD-000118,2026-04-01 05:30:00
OPP-00016,ACC-00520,USR-0029,"Rodriguez, Allen and Martinez - New Business #00016",Proposal,3,0.00,USD,New Business,Paid,false,2026-03-12,,false,false,false,HS-000152,LEAD-000152,2026-04-01 05:30:00
OPP-00017,ACC-00679,USR-0026,"Bernard, Warren and Combs - New Business #00017",Closed Lost,6,11904.89,USD,New Business,Outbound,false,2025-09-17,2025-09-30,false,true,false,HS-000157,LEAD-000157,2026-04-01 05:30:00
OPP-00018,ACC-00819,USR-0023,"Martinez, Cline and Wright - New Business #00018",Closed Lost,6,10294.50,USD,New Business,Content,false,2025-12-06,2025-12-19,false,true,false,HS-000174,LEAD-000174,2026-04-01 05:30:00
OPP-00019,ACC-01132,USR-0034,Campbell Inc - New Business #00019,Closed Lost,6,24323.68,USD,New Business,Inbound,false,2025-12-18,2026-03-21,false,true,false,HS-000180,LEAD-000180,2026-04-01 05:30:00
OPP-00019D,ACC-01132,USR-0034,Campbell Inc - New Business #00019,Closed Lost,6,24323.68,USD,New Business,Inbound,false,2025-12-18,2026-03-21,false,true,false,HS-000180,LEAD-000180,2026-04-01 05:30:00
OPP-00020,ACC-00867,USR-0023,"Wheeler, Rice and Levine - New Business #00020",Proposal,3,12308.12,USD,New Business,Outbound,false,2026-03-09,,false,false,false,HS-000185,LEAD-000185,2026-04-01 05:30:00
OPP-00021,ACC-01198,USR-0034,Waller-Chavez - New Business #00021,Closed Lost,6,29611.24,USD,New Business,Outbound,false,2025-11-07,2025-11-24,false,true,false,HS-000190,LEAD-000190,2026-04-01 05:30:00
OPP-00022,ACC-00405,USR-0024,"Osborn, Gaines and Davis - New Business #00022",Closed Lost,6,3396.99,USD,New Business,Outbound,false,2026-01-03,2026-02-13,false,true,false,HS-000207,LEAD-000207,2026-04-01 05:30:00
OPP-00023,ACC-00260,USR-0028,"Thomas, Murray and King - New Business #00023",Closed Lost,6,7286.29,USD,New Business,Event,false,2025-12-10,2026-01-06,false,true,false,HS-000209,LEAD-000209,2026-04-01 05:30:00
OPP-00024,ACC-00917,USR-0024,"Miller, Davis and Anderson - New Business #00024",Closed Lost,6,4401.43,USD,New Business,Outbound,false,2025-10-28,2025-12-17,false,true,false,HS-000212,LEAD-000212,2026-04-01 05:30:00
OPP-00025,ACC-00771,USR-0025,"Wilson, Sweeney and Wong - New Business #00025",Closed Lost,6,3483.14,USD,New Business,Inbound,false,2025-11-09,2025-11-23,false,true,false,HS-000218,LEAD-000218,2026-04-01 05:30:00
OPP-00026,ACC-01175,USR-0029,Petersen PLC - New Business #00026,Closed Lost,6,13857.47,USD,New Business,Outbound,false,2025-10-27,2025-11-15,false,true,false,HS-000231,LEAD-000231,2026-04-01 05:30:00
OPP-00027,ACC-01108,USR-0028,Powell-Sanford - New Business #00027,Closed Lost,6,8350.16,USD,New Business,Outbound,false,2025-10-03,2025-10-11,false,true,false,HS-000244,LEAD-000244,2026-04-01 05:30:00
OPP-00028,ACC-00853,USR-0026,Bishop and Sons - New Business #00028,Closed Lost,6,,USD,New Business,Outbound,false,2025-09-24,2025-10-14,false,true,false,HS-000292,LEAD-000292,2026-04-01 05:30:00
OPP-00029,ACC-00315,USR-0024,Strickland-Palmer - New Business #00029,Closed Lost,6,2450.23,USD,New Business,Content,false,2025-12-13,2026-01-15,false,true,false,HS-000293,LEAD-000293,2026-04-01 05:30:00
OPP-00030,ACC-00624,USR-0024,Mitchell and Sons - New Business #00030,Closed Lost,6,6871.24,USD,New Business,Partner,true,2025-11-15,2025-11-23,false,true,false,HS-000319,LEAD-000319,2026-04-01 05:30:00
OPP-00031,ACC-01115,USR-0025,Bryant-Meyer - New Business #00031,Demo,2,18109.74,USD,New Business,Inbound,false,2026-03-16,,false,false,false,HS-000329,LEAD-000329,2026-04-01 05:30:00
OPP-00031D,ACC-01115,USR-0025,Bryant-Meyer - New Business #00031,Demo,2,18109.74,USD,New Business,Inbound,false,2026-03-16,,false,false,false,HS-000329,LEAD-000329,2026-04-01 05:30:00
OPP-00032,ACC-00457,USR-0026,Robertson-Hays - New Business #00032,Closed Lost,6,4175.75,USD,New Business,Inbound,false,2025-12-06,2025-12-25,false,true,false,HS-000339,LEAD-000339,2026-04-01 05:30:00
OPP-00033,ACC-00917,USR-0024,"Miller, Davis and Anderson - New Business #00033",Closed Lost,6,3966.93,USD,New Business,Inbound,false,2026-01-30,2026-02-21,false,true,false,HS-000394,LEAD-000394,2026-04-01 05:30:00
