history_id,opp_id,from_stage_num,to_stage_num,changed_at,changed_by,_synced_at
HIS-000001,OPP-00001,0,1,2026-02-24 14:39:04,USR-0032,2026-04-01 05:30:00
HIS-000002,OPP-00001,1,2,2026-03-04 23:49:42,USR-0032,2026-04-01 05:30:00
HIS-000003,OPP-00001,2,3,2026-03-07 12:21:30,USR-0032,2026-04-01 05:30:00
HIS-000004,OPP-00002,0,1,2026-03-16 07:34:07,USR-0028,2026-04-01 05:30:00
HIS-000005,OPP-00002,1,2,2026-03-18 21:52:47,USR-0028,2026-04-01 05:30:00
HIS-000006,OPP-00002,2,3,2026-03-19 01:24:46,USR-0028,2026-04-01 05:30:00
HIS-000007,OPP-00002,3,4,2026-03-31 12:27:49,USR-0028,2026-04-01 05:30:00
HIS-000008,OPP-00003,0,1,2026-03-18 08:06:23,USR-0028,2026-04-01 05:30:00
HIS-000009,OPP-00003,1,2,2026-03-30 20:33:21,USR-0028,2026-04-01 05:30:00
HIS-000010,OPP-00003,2,3,2026-03-31 13:09:43,USR-0028,2026-04-01 05:30:00
HIS-000011,OPP-00003,3,4,2026-03-31 23:13:44,USR-0028,2026-04-01 05:30:00
HIS-000012,OPP-00004,0,1,2025-10-29 18:43:48,USR-0024,2026-04-01 05:30:00
HIS-000013,OPP-00004,1,2,2025-11-08 02:15:32,USR-0024,2026-04-01 05:30:00
HIS-000014,OPP-00004,2,3,2025-11-09 07:05:05,USR-0024,2026-04-01 05:30:00
HIS-000015,OPP-00004,3,4,2025-11-11 22:36:06,USR-0024,2026-04-01 05:30:00
HIS-000016,OPP-00004,4,6,2025-11-21 09:18:34,USR-0024,2026-04-01 05:30:00
HIS-000017,OPP-00005,0,1,2026-01-31 13:42:33,USR-0033,2026-04-01 05:30:00
HIS-000018,OPP-00005,1,2,2026-02-26 17:08:45,USR-0033,2026-04-01 05:30:00
HIS-000019,OPP-00005,2,3,2026-02-28 18:24:53,USR-0033,2026-04-01 05:30:00
HIS-000020,OPP-00005,3,4,2026-03-03 15:58:10,USR-0033,2026-04-01 05:30:00
HIS-000021,OPP-00005,4,5,2026-03-12 17:50:24,USR-0033,2026-04-01 05:30:00
HIS-000022,OPP-00006,0,1,2026-03-17 21:57:25,USR-0028,2026-04-01 05:30:00
HIS-000023,OPP-00006,1,2,2026-03-25 15:45:24,USR-0028,2026-04-01 05:30:00
HIS-000024,OPP-00006,2,3,2026-03-26 09:40:31,USR-0028,2026-04-01 05:30:00
HIS-000025,OPP-00007,0,1,2025-12-10 23:55:22,USR-0028,2026-04-01 05:30:00
HIS-000026,OPP-00007,1,2,2025-12-20 00:22:18,USR-0028,2026-04-01 05:30:00
HIS-000027,OPP-00007,2,3,2025-12-21 17:08:02,USR-0028,2026-04-01 05:30:00
HIS-000028,OPP-00007,3,4,2025-12-24 15:47:40,USR-0028,2026-04-01 05:30:00
HIS-000029,OPP-00007,4,6,2025-12-28 19:33:44,USR-0028,2026-04-01 05:30:00
HIS-000035,OPP-00009,0,1,2025-11-19 16:27:58,USR-0036,2026-04-01 05:30:00
HIS-000036,OPP-00009,1,2,2025-12-15 15:48:36,USR-0036,2026-04-01 05:30:00
HIS-000037,OPP-00009,2,3,2025-12-16 20:05:17,USR-0036,2026-04-01 05:30:00
HIS-000038,OPP-00009,3,4,2025-12-28 21:35:57,USR-0036,2025-12-27 21:35:57
HIS-000039,OPP-00009,4,6,2026-02-19 20:44:03,USR-0036,2026-04-01 05:30:00
HIS-000040,OPP-00010,0,1,2025-09-17 15:55:26,USR-0029,2026-04-01 05:30:00
HIS-000041,OPP-00010,1,2,2025-09-29 03:02:39,USR-0029,2026-04-01 05:30:00
HIS-000042,OPP-00010,2,3,2025-09-30 06:51:16,USR-0029,2026-04-01 05:30:00
HIS-000043,OPP-00010,3,4,2025-10-04 10:27:25,USR-0029,2026-04-01 05:30:00
HIS-000044,OPP-00010,4,6,2025-10-09 00:04:27,USR-0029,2026-04-01 05:30:00
HIS-000045,OPP-00011,0,1,2025-09-29 15:30:04,USR-0033,2026-04-01 05:30:00
HIS-000046,OPP-00011,1,2,2025-10-23 11:32:30,USR-0033,2026-04-01 05:30:00
HIS-000047,OPP-00011,2,3,2025-12-04 15:21:58,USR-0033,2026-04-01 05:30:00
HIS-000048,OPP-00011,3,4,2025-12-13 22:03:34,USR-0033,2026-04-01 05:30:00
HIS-000049,OPP-00011,4,6,2025-12-21 04:39:20,USR-0033,2026-04-01 05:30:00
HIS-000050,OPP-00012,0,1,2025-12-24 16:48:06,USR-0029,2026-04-01 05:30:00
HIS-000051,OPP-00012,1,2,2026-01-02 03:38:19,USR-0029,2026-04-01 05:30:00
HIS-000052,OPP-00012,2,3,2026-01-09 16:10:56,USR-0029,2026-04-01 05:30:00
HIS-000053,OPP-00012,3,4,2026-01-24 19:57:27,USR-0029,2026-04-01 05:30:00
HIS-000054,OPP-00012,4,6,2026-01-26 03:14:24,USR-0029,2026-04-01 05:30:00
HIS-000055,OPP-00013,0,1,2026-03-15 01:03:31,USR-0035,2026-04-01 05:30:00
HIS-000056,OPP-00014,0,1,2025-11-30 22:23:52,USR-0024,2026-04-01 05:30:00
HIS-000057,OPP-00014,1,2,2025-12-04 15:36:35,USR-0024,2026-04-01 05:30:00
HIS-000058,OPP-00014,2,3,2025-12-09 14:47:18,USR-0024,2026-04-01 05:30:00
HIS-000059,OPP-00014,3,4,2025-12-19 14:28:02,USR-0024,2026-04-01 05:30:00
HIS-000060,OPP-00014,4,5,2025-12-20 10:39:16,USR-0024,2026-04-01 05:30:00
HIS-000061,OPP-00015,0,1,2025-12-24 13:37:06,USR-0029,2026-04-01 05:30:00
HIS-000062,OPP-00015,1,2,2025-12-27 21:40:17,USR-0029,2026-04-01 05:30:00
HIS-000063,OPP-00015,2,3,2026-01-01 10:33:28,USR-0029,2026-04-01 05:30:00
HIS-000064,OPP-00015,3,4,2026-01-02 07:03:18,USR-0029,2026-04-01 05:30:00
HIS-000065,OPP-00015,4,6,2026-01-09 00:16:13,USR-0029,2026-04-01 05:30:00
HIS-000066,OPP-00016,0,1,2026-03-12 20:16:21,USR-0029,2026-04-01 05:30:00
HIS-000067,OPP-00016,1,2,2026-03-24 15:54:43,USR-0029,2026-04-01 05:30:00
HIS-000068,OPP-00016,2,3,2026-03-25 09:33:25,USR-0029,2026-04-01 05:30:00
HIS-000069,OPP-00017,0,1,2025-09-17 06:09:04,USR-0026,2026-04-01 05:30:00
HIS-000070,OPP-00017,1,2,2025-09-20 04:11:37,USR-0026,2026-04-01 05:30:00
HIS-000071,OPP-00017,2,3,2025-09-21 11:41:05,USR-0026,2026-04-01 05:30:00
HIS-000072,OPP-00017,3,4,2025-09-23 16:50:08,USR-0026,2026-04-01 05:30:00
HIS-000073,OPP-00017,4,6,2025-09-30 03:28:42,USR-0026,2026-04-01 05:30:00
HIS-000074,OPP-00018,0,1,2025-12-06 03:59:13,USR-0023,2026-04-01 05:30:00
HIS-000075,OPP-00018,1,2,2025-12-14 05:45:57,USR-0023,2026-04-01 05:30:00
HIS-000076,OPP-00018,2,3,2025-12-15 22:51:11,USR-0023,2026-04-01 05:30:00
HIS-000077,OPP-00018,3,4,2025-12-16 10:18:09,USR-0023,2026-04-01 05:30:00
HIS-000078,OPP-00018,4,6,2025-12-19 14:28:23,USR-0023,2026-04-01 05:30:00
HIS-000079,OPP-00019,0,1,2025-12-18 11:00:44,USR-0034,2026-04-01 05:30:00
HIS-000080,OPP-00019,1,2,2026-02-09 15:50:08,USR-0034,2026-02-08 15:50:08
HIS-000081,OPP-00019,2,3,2026-02-22 05:43:50,USR-0034,2026-04-01 05:30:00
HIS-000082,OPP-00019,3,4,2026-03-05 03:05:01,USR-0034,2026-04-01 05:30:00
HIS-000083,OPP-00019,4,6,2026-03-21 22:49:32,USR-0034,2026-04-01 05:30:00
HIS-000084,OPP-00020,0,1,2026-03-09 01:56:32,USR-0023,2026-04-01 05:30:00
HIS-000085,OPP-00020,1,2,2026-03-23 19:17:19,USR-0023,2026-04-01 05:30:00
HIS-000086,OPP-00020,2,3,2026-03-29 17:56:47,USR-0023,2026-04-01 05:30:00
HIS-000087,OPP-00021,0,1,2025-11-07 05:35:11,USR-0034,2026-04-01 05:30:00
HIS-000088,OPP-00021,1,2,2025-11-10 10:01:13,USR-0034,2026-04-01 05:30:00
HIS-000089,OPP-00021,2,3,2025-11-17 10:56:03,USR-0034,2026-04-01 05:30:00
HIS-000090,OPP-00021,3,4,2025-11-24 03:54:57,USR-0034,2026-04-01 05:30:00
HIS-000091,OPP-00021,4,6,2025-11-24 06:55:26,USR-0034,2026-04-01 05:30:00
HIS-000092,OPP-00022,0,1,2026-01-03 09:47:07,USR-0024,2026-04-01 05:30:00
HIS-000093,OPP-00022,1,2,2026-01-24 20:34:24,USR-0024,2026-04-01 05:30:00
HIS-000094,OPP-00022,2,3,2026-01-25 20:15:34,USR-0024,2026-04-01 05:30:00
HIS-000095,OPP-00022,3,4,2026-01-29 11:43:32,USR-0024,2026-04-01 05:30:00
HIS-000096,OPP-00022,4,6,2026-02-13 00:19:07,USR-0024,2026-04-01 05:30:00
HIS-000097,OPP-00023,0,1,2025-12-10 01:10:14,USR-0028,2026-04-01 05:30:00
